transaction_id,amount,currency,timestamp,sender_id,sender_name,sender_country,sender_account_age_days,receiver_id,receiver_name,receiver_country,transaction_type,kyc_status,is_sanctioned_entity,is_pep,txn_count_last_24h,txn_count_last_7d,txn_count_last_30d,avg_txn_amount_30d,same_beneficiary_count_7d,days_since_last_txn,is_round_amount
TXN_676BDF5B2A6E,11112.61,USD,2025-05-20T10:37:27,ACC_E140C1EB,Amit Park,US,44,ACC_5A9C2C52,Raj Popov,IN,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_5B143DA494C5,8249.64,CAD,2025-03-13T12:13:48,ACC_CAAC1626,Sophie Yamamoto,US,207,ACC_303F3197,Mohammed Anderson,US,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_66EC0E9CFF69,434281.21,INR,2025-02-20T06:04:02,ACC_7759F7BB,Maria Santos,IT,150,ACC_032367DD,Wei Zhang,NG,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_33BFECF46E69,731152.64,INR,2025-02-14T01:46:15,ACC_41ADF4CD,Yoko Patel,DE,1265,ACC_664A97D8,Igor Hassan,TZ,ach,pending,False,False,0,0,0,0,0,-1,False
TXN_ECE4E037BC9A,3826272.25,INR,2025-05-27T06:20:13,ACC_82FF8062,Elena Verma,DE,104,ACC_AA366C88,David Yamamoto,IR,internal_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_125D6345191E,592472.24,INR,2025-01-13T11:09:40,ACC_5ED8A4A1,Mei Johansson,FR,2283,ACC_A666721A,Yuki Zhang,US,wire_transfer,expired,False,False,0,0,0,0,0,-1,False
TXN_7290C180A732,6643.32,CAD,2025-03-17T21:10:29,ACC_A5F4FEDB,Aisha Wang,CH,2445,ACC_CFC4BF1D,Carlos Santos,GB,internal_transfer,incomplete,False,False,0,0,0,0,0,-1,False
TXN_755E6DC8F0D5,1114212.36,JPY,2025-01-02T03:20:31,ACC_A576C228,Sven Ivanova,SY,27,ACC_98441A69,Yoko Al-Rashid,CH,wire_transfer,incomplete,False,False,0,0,0,0,0,-1,False
TXN_0610275111F4,8910.04,CHF,2025-05-21T13:16:33,ACC_42B52BC6,Ravi Liu,PK,133,ACC_47FD3F3A,Amit Tanaka,SY,cash_deposit,expired,False,False,0,0,0,0,0,-1,False
TXN_992CBBCA55A8,25525.86,USD,2025-05-22T15:37:14,ACC_EF6F03B1,Lisa García,KR,3,ACC_FD356FFB,Sven Laurent,US,ach,verified,False,False,0,0,0,0,0,-1,False
